split,seed,r2,rmse,mae,train_seconds
random,42,0.7315521240234375,0.7126733318105799,0.5300490260124207,1.6
random,1,0.7315521240234375,0.7126733318105799,0.5300490260124207,1.6
random,2,0.7315521240234375,0.7126733318105799,0.5300490260124207,1.5
scaffold,42,0.5172460079193115,0.9976396121651888,0.7726218104362488,1.6
scaffold,1,0.5172460079193115,0.9976396121651888,0.7726218104362488,1.5
scaffold,2,0.5172460079193115,0.9976396121651888,0.7726218104362488,1.5
