bit,importance,substructure_smiles,n_heavy_atoms_in_example,n_molecules_with_bit
1367,0.23261369335061377,cc(N)ncn,6,2762
1645,0.07370721034014976,cc(c)SCC,6,453
1452,0.030035589225424163,cc(-c)cc(c)S,7,4710
1581,0.013264889683546312,[C@@H]c(c)ccc,6,1299
1630,0.013218670308455803,[C@H]Cc(cc)c(c)C,8,51
1224,0.011864493857091919,cc(c)CC(C)N,7,1420
1039,0.008469926957060005,cccc(c)C,6,2529
636,0.008152244070164846,cc(N)cc(c)Br,7,504
789,0.007841624614598875,ccc(nc)-c(c)n,8,291
