split,rf_r2,rf_rmse,rf_mae,gin_r2,gin_rmse,gin_mae,gin_r2_mean,gin_r2_std,gin_rmse_mean,gin_rmse_std,gin_n_seeds,d_r2_gin_minus_rf,d_rmse_gin_minus_rf
random,0.7466362476524925,0.6923613160206218,0.4921977015801747,0.6908191442489624,0.764833391409721,0.5817612409591675,0.6902389129002889,0.0006610390713219875,0.7655503169852591,0.0008166167813930995,3,-0.05581710340353008,0.07247207538909917
scaffold,0.5623997366302019,0.949838046441637,0.7083541475762484,0.5444309711456299,0.9691430186772951,0.7366563677787781,0.5264853239059448,0.01621442127238836,0.9879025995136183,0.016876525893667924,3,-0.017968765484572047,0.01930497223565808
