bit,mdi,perm_mean,perm_std
1367,0.23261369335061377,0.6024988588475235,0.006982605491677795
1645,0.07370721034014976,0.10565598149996751,0.006525576192546926
1452,0.030035589225424163,0.057568226552584055,0.008835506516679914
1581,0.013264889683546312,0.02492131368066545,0.005199957479708216
1630,0.013218670308455803,0.005164693179488755,0.001586551657024961
1224,0.011864493857091919,0.007650865033973016,0.0008869351798005622
1039,0.008469926957060005,0.015477625370743523,0.0043263967743939905
636,0.008152244070164846,0.01765588160832791,0.001292007075598616
789,0.007841624614598875,0.016528594264303125,0.0017969641268540423
1226,0.007601912975949503,0.03955384092326142,0.004359954774176385
1611,0.006417679686022089,0.008341905184493958,0.0016332388340624471
161,0.006009267345089903,0.0014324594007490976,0.00039931217921746447
329,0.0058712271588553105,0.017835646578337066,0.0028896383532289833
971,0.0053389990115883254,0.002487811866630015,0.0006845510947856667
416,0.005235264169877959,0.002141928698481991,0.0018657313693113938
526,0.005163453819021218,0.0036668132388496533,0.00025204734251348343
1722,0.004956042013591681,0.004433555033882282,0.0007760140521659571
1535,0.004634923018048075,0.0047379283213466366,0.000569557566309181
45,0.004398856793585621,0.003978219308270248,0.0018135767978962709
1058,0.004252454898322883,0.0015109221928621592,0.0005441943850929591
1631,0.0040331721744526995,0.0040566937522082585,0.001218351041974304
1077,0.003772546038958963,0.004503488268097322,0.0001853117786729844
381,0.0037562114404777443,0.0013706842550097835,0.0002109631406955044
1011,0.0036444987874538746,0.0027318090080284962,0.0006324320816758847
1474,0.0035216988826547303,0.0008808642234548655,0.00010710460826592909
699,0.0032221141961993162,0.0010278481667354382,0.0012073172109676024
2004,0.0031880523760786095,0.0012030556759952866,0.0007386179664547472
888,0.0031479691479892797,0.008714342786994863,0.00034834638659395355
1445,0.003137895285442731,0.0013102171644505667,0.00011218917466519785
974,0.00311127365532334,-0.00032247254464482883,0.00022008466451517984
945,0.0030518544891379186,0.002565972933396036,0.0005171042008464002
673,0.003021704299063183,0.0009940668720754091,0.00045007763554514153
922,0.003008214122829053,0.002499612679651079,0.0003121761871505056
875,0.0030060783353005557,-0.0005256933574944537,0.0003199032584861868
1384,0.002934155716046005,0.0004216634204928053,0.0014623509482137357
1385,0.00287398078208115,0.0027297521093057053,0.00027428010527334924
1114,0.002861940667262169,0.002715224048013646,0.0003089323907255628
1357,0.002844606850875094,0.0020965043397570917,0.000577942717655935
1032,0.0027842580895171953,0.00110655356186673,0.000677229242530621
1644,0.0027655749329103616,-0.001070681621923845,0.0003616580341448818
