bit,mdi,perm_mean,perm_std
964,0.15537770049326627,0.09517585551629777,0.022766803840065946
875,0.05520791215127121,0.11762783802792753,0.016669694464973985
650,0.05396252670475643,0.2003962478559018,0.016743997289842442
1160,0.025457048493047592,0.044009127065129015,0.007837927335397383
1453,0.023455376945690547,0.03487055545655989,0.005335201270818819
1563,0.021319164377181954,0.038628608976186585,0.012614754216504888
1928,0.01571476855555601,0.014415821277586968,0.0017046056943264823
1902,0.013452353299439277,0.00622443258331747,0.0019593226869923015
294,0.012604666344673374,0.0007119138387246723,0.003498374038153063
1044,0.012315451894965027,0.006931032848858394,0.002293811203840882
397,0.009855109169323504,-0.0006698506661857451,0.001442340305164669
1057,0.009356709344908848,0.00293149512207469,0.008385986883048091
319,0.008950554793098281,-0.0012714173102294686,0.0029184274475057333
126,0.008657206807906086,0.0036598681773060506,0.0030670756018069275
1840,0.008148315431595308,0.004757508127562149,0.0002498556753064877
614,0.005991618211614716,0.00032014434790084145,0.0005785209852057039
136,0.0058076869583681134,0.000820324653324637,0.001677217004078292
1457,0.005356945006291074,-0.0016442169910138027,0.0030315389569049167
1953,0.005311322107701285,-0.0010529410072561696,0.001076990484895659
1643,0.0051288931424474295,0.001003749100769132,0.0007906887433398985
389,0.004925251498581202,0.004103677260161291,0.00047255522698241967
444,0.004691736212590714,0.005657478790831967,0.0006976226478353459
1390,0.004508636787056226,0.0005349937859564132,0.0015299628549206668
703,0.004419831241174959,0.001406971705560034,0.0005583175709027232
1742,0.0043598924042174666,0.0005903429382652462,0.0008444384608071526
1060,0.004104142261187432,0.003359757397571365,0.0014081912946943664
1066,0.00399733343874611,0.0008710300898665165,0.0007771358199225905
1118,0.0039856528022259256,0.008724806631834281,0.00117758224157971
1530,0.003957666059116152,0.007029411139627184,0.0006935233639433952
556,0.003943781292959222,0.0003157685347504972,0.0008773458538155387
919,0.003907721708486859,0.002771939555922994,0.0010883150989204433
484,0.003651972053693614,0.0006433302019880349,0.0006037572408992954
455,0.0035346427688592637,0.0005656127586705084,0.00022670944120627184
1980,0.003528064422806336,0.00012293796664053502,0.0003280143438253819
1754,0.003505495711985668,0.0003724805470891601,0.0003177606906554434
1480,0.003426934838354449,0.0004420947695820132,0.00023514083736020508
90,0.003423223267460519,-0.0002794491965807759,0.00014177209068062747
818,0.003378985903443292,0.0014500985948349883,0.0014693332233870738
1199,0.0032979809803932326,0.0008072304531853517,0.0004721732659234666
231,0.00323098378390018,0.0021149698243868955,0.0007321036279169651
1015,0.0032003296664481276,0.005690282792235231,0.00029569405203751974
1,0.0031947168548880868,-9.80616735460534e-05,0.0015553147366065168
623,0.0031897773260337286,-0.00039655178713182693,0.001519799286203422
606,0.0031823364244747752,3.095735602938928e-05,0.00016067712667393596
1855,0.0031687008303474505,0.0020679898900308005,0.0010417212601896563
695,0.0031561873240080075,-0.000882864366085275,0.0002990787654374313
495,0.0030857359781220396,0.0016711077928452205,0.0002983117054868437
573,0.0030784828608426077,0.001355887395100989,0.0019279626715333993
997,0.0030586188937100187,0.00013447997511462084,0.000879251809106016
802,0.0029436996272451596,0.002010023590464427,0.00031061985941577784
1028,0.002918075097490871,0.0011654787066409285,0.0018448175711011587
1417,0.0028430011408048413,0.0005186383412025819,0.0012979795598885052
935,0.0027879493937235304,0.001594062878646052,0.000648374387340311
1162,0.0027630897142530146,-0.0005121518970824246,0.0001640970149286613
1279,0.002656603697580565,-0.0011132742859177498,0.0007030203963515352
1274,0.0026470735352298602,0.0005508408828402608,0.00017666170352310977
255,0.002552183019795752,0.002503273929670794,0.00027176224372445836
507,0.0025283636863003135,0.004646101127289508,0.0007087816442878929
33,0.002491070156737039,0.00028568542985518697,0.0006000369441132327
322,0.00247084291377227,0.00015716969742274323,0.0015179632256123214
881,0.0024416075797648413,0.0011539831322179654,0.0005618649639686909
233,0.0024388680346952097,-0.001534112553674823,0.001403158458474638
227,0.002385027350737555,-0.0004961221676152613,0.0008053397491746172
1884,0.0023442647658450002,0.0007742014860589638,0.0009869790913840226
79,0.002337290307116883,0.0009727788591613606,0.0004503128590524427
1391,0.002328170073207768,-5.848144742929643e-05,0.0007757213067973047
1452,0.002297588368076263,-0.0011845030355554325,0.0014062003591288263
1964,0.0022919110502249277,-0.0005219995072163938,0.0006248424479689897
1771,0.0022826612301726714,0.00020564545068124662,0.0008051107481154492
674,0.0021999571712298404,0.0010735736348791065,0.00047814857211469076
1039,0.002196481597908956,0.0010531997391372006,0.00045316412166630316
1302,0.002177153331990578,0.0009173679872150527,0.000989359868533416
932,0.0021205095093140645,-0.002276317732848717,0.0005004880125404754
785,0.0020993333633091155,0.0010849894065460737,0.0006615337375263256
1171,0.0020871762228641517,-0.0010909395154167962,0.0008987811048743308
926,0.0020748094526227296,0.0004527390747451898,0.00025577835646496813
2,0.002061303247713288,0.0011401249799054176,0.0009571738866819312
392,0.002055041081661999,0.00032752935830545243,0.0009417239736274183
1410,0.002046838559180371,-0.000688596735507141,0.00020079262083845618
1671,0.002019458391121505,-0.00042369127412833496,0.00037656059305794847
588,0.0020121581905518998,0.0005272941535575301,0.0012636020004670374
739,0.0019938422443520802,0.0019166233497840783,0.0017595791387296073
665,0.0019934074553678485,0.0005511025960468116,0.0006435013994297513
1114,0.0019670659945841278,-0.0009618988775305463,0.00043231397082165455
317,0.0019632370058009587,0.00026176498633293893,0.0003162451124738915
841,0.0019542068712375465,0.0005262331992538597,0.0002265683690663483
1535,0.0019381020441191874,0.0019302792486474152,0.0007303335226257701
781,0.001892597786371356,-0.00012693568852269652,0.0004429435857310271
1663,0.0018453736591622436,-0.0001683149702176312,0.0003382527996599668
118,0.0018436624229964014,0.0029768151857283063,0.0010888111636457281
1803,0.001806982368322588,0.0005916898755454388,0.00010477413962826004
1446,0.001797756692671435,0.0010913324451244932,1.310556844390387e-05
2026,0.0017700100555197698,0.0029238007286063925,0.0002630609993015898
575,0.0017631406081982054,-0.000725008271051745,0.00011905659306131095
119,0.0017122834345582795,0.002420751926165051,0.0006072881121369215
314,0.0016991388279864658,0.0008507472848520529,0.0010001481957112367
1951,0.0016892838963778662,-0.0010562212126502175,0.0002485597278621933
1292,0.0016858653868764798,0.000814693393154912,0.000271644523639504
656,0.0016671292388615087,0.0016170527973818165,0.0008392442747728355
744,0.0016374488027791376,0.000695177060088444,0.0003137995240448764
